Planned updates: 29
Applied updates: 29
id_db | ID_produktu | SKU | old_EAN -> new_EAN
329593 | 6824.0 | ASTE-50/120+GH-09C1 | 5,90525E+12 -> 5905253636257
329728 | 6959.0 | BIOE2-40/100C31 | 5,90525E+12 -> 5905253507229
330417 | 7648.0 | BOLE-60/140+GH-09C1 | 5,90525E+12 -> 5905253625886
330464 | 7695.0 | ESCE1-60/160C31 | 5,90525E+12 -> 5905253609176
330465 | 7696.0 | ESCE1-60/160C34 | 5,90525E+12 -> 5905253609169
331450 | 10594.0 | UN-KAMA-MNB-60 | 5907610000000 -> 5907611655283
330506 | 7737.0 | GŁE-60/120+GH-09C1 | 5,90525E+12 -> 5905253618086
330688 | 7926.0 | MOBE2-50/90C31 | 5,90525E+12 -> 5905253636172
330689 | 7927.0 | MOBE2-50/90C34 | 5,90525E+12 -> 5905253636165
330750 | 7988.0 | NAME-50/90+GH-04C1 | 5,90525E+12 -> 5905253686252
330784 | 8022.0 | PIKE-50/110+GH-04C1 | 5,90525E+12 -> 5905253685378
330932 | 8170.0 | PRVE-40/110C34 | 5,90525E+12 -> 5905253372377
331025 | 8279.0 | VIKE-50/100C31 | 5,90525E+12 -> 5905253332203
331028 | 8282.0 | VIKE-50/70 | 5,90525E+12 -> 5905253059032
331395 | 10538.0 | CFP - 8009 DANCE 80 | 5907610000000 -> 5907611664834
331695 | 10868.0 | ZS00000152 | 5907610000000 -> 5907611668030
331742 | 10921.0 | ZS00000205 | 5907610000000 -> 5907611662489
331772 | 10961.0 | ZS00000245 | 5907610000000 -> 5907611667224
331778 | 10967.0 | ZS00000251 | 5907610000000 -> 5907611662328
331782 | 10971.0 | ZS00000255 | 5907610000000 -> 5907611662359
331807 | 11008.0 | ZS00000292 | 5907610000000 -> 5907611667248
331858 | 11074.0 | ZS00000358 | 5907610000000 -> 5907611667309
331874 | 11096.0 | ZS00000380 | 5907610000000 -> 5907611658338
331992 | 11325.0 | HOTS-03C4 | 5,90525E+12 -> 5905253660962
331993 | 11326.0 | HOTS-04C4 | 5,90525E+12 -> 5905253660931
331997 | 11330.0 | YUUKI-03C1 | 5,90525E+12 -> 5905253414855
331998 | 11332.0 | YUUKI-04C1 | 5,90525E+12 -> 5905253682025
332023 | 11376.0 | 612100169VTC31 | 5,90525E+12 -> 5905253411298
332035 | 11390.0 | UMSTI-Z4 | 5,90525E+12 -> 5905253158735
